ts,type,ch,tx_rx,data,fcs,port,sim
23.543216,ETH,1,Rx,43:A81374BD389D02000000100108004500003557CD000040064D42A9FE1301A9FE6EB63458FF26000058F37EA9267650184000B6F5000002FD8002000000051FFF0E8000,FCS:efa95c4b,Ports:Port5,Sim:0
23.585098,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280847400080061CD5A9FE6EB6A9FE1301FF2634587EA926760000590050102013886E0000000000000000,FCS:c1a75d8b,Ports:Port6,Sim:0
24.082857,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D080045000024B1EE000080117026A9FE6EB6FFFFFFFFF68934580010B93902FD00010000000000000000000000000000,FCS:99a5b867,Ports:Port6,Sim:0
24.354103,ETH,1,Rx,9d:333300010002A81374BD389D86DD60054E1700671101FE800000000000004C705F11449FCF51FF02000000000000000000000001000202220223006723DE01D30E16000800020C260001000E000100012A621DD5A81374BD389D0003000C0DA81374000000000000000000270011000F4445534B544F502D4B524E4E5330370010000E0000013700084D53465420352E30000600080011001700180027,FCS:b3f843a7,Ports:Port6,Sim:0
25.451046,ETH,1,Rx,45:020000001001A81374BD389D0800450000370848400080061CC5A9FE6EB6A9FE1301FF2634587EA926760000590050182013B7F3000002FD8001000000070E801A0122DD02,FCS:599020e2,Ports:Port6,Sim:0
25.451222,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857D5000040064D47A9FE1301A9FE6EB63458FF26000059007EA9268550103FF168810000000000000000,FCS:5ab02df9,Ports:Port5,Sim:0
25.452971,ETH,1,Rx,43:A81374BD389D02000000100108004500003557D6000040064D39A9FE1301A9FE6EB63458FF26000059007EA9268550184000BCD7000002FD8002000000051A010E8000,FCS:440a33f,Ports:Port5,Sim:0
25.477021,ETH,1,Rx,46:A81374BD389D02000000100108004500003857D7000040064D35A9FE1301A9FE6EB63458FF260000590D7EA9268550184000575A000002FD8001000000081A010E8062DD028E,FCS:29bae6ee,Ports:Port5,Sim:0
25.477194,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280849400080061CD3A9FE6EB6A9FE1301FF2634587EA926850000591D5010201388420000000000000000,FCS:a0cab1ca,Ports:Port6,Sim:0
25.480129,ETH,1,Rx,45:020000001001A81374BD389D080045000037084A400080061CC3A9FE6EB6A9FE1301FF2634587EA926850000591D50182013AFC7000002FD8001000000070E801A0122DD0A,FCS:c7fc1df2,Ports:Port6,Sim:0
25.480301,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857D8000040064D44A9FE1301A9FE6EB63458FF260000591D7EA9269450103FF168550000000000000000,FCS:92abaeec,Ports:Port5,Sim:0
25.481968,ETH,1,Rx,43:A81374BD389D02000000100108004500003557D9000040064D36A9FE1301A9FE6EB63458FF260000591D7EA9269450184000BCAB000002FD8002000000051A010E8000,FCS:ae17ebe8,Ports:Port5,Sim:0
